Ulysses S. Grant	Republican
Horace Greeley	Democratic
Charles O'Conor	Straight-Out Democrat
Margin
State Total
Alabama 	10 	90,272 	53.19 	10 	79,444 	46.81 	- 	- 	- 	- 	10,828 	6.38 	169,716 	AL
Arkansas 	6 	41,373 	52.17 	0 	37,927 	47.83 	- 	- 	- 	- 	3,446 	4.35 	79,300 	AR
California 	6 	54,007 	56.38 	6 	40,717 	42.51 	- 	1,061 	1.11 	- 	13,290 	13.87 	95,785 	CA
Connecticut 	6 	50,314 	52.41 	6 	45,695 	47.59 	- 	- 	- 	- 	4,619 	4.81 	96,009 	CT
Delaware 	3 	11,129 	51.00 	3 	10,205 	46.76 	- 	488 	2.24 	- 	924 	4.23 	21,822 	DE
Florida 	4 	17,763 	53.52 	4 	15,427 	46.48 	- 	- 	- 	- 	2,336 	7.04 	33,190 	FL
Georgia 	11 	62,550 	45.03 	- 	76,356 	54.97 	11 	- 	- 	- 	-13,806 	-9.94 	138,906 	GA
Illinois 	21 	241,936 	56.27 	21 	184,884 	43.00 	- 	3,151 	0.73 	- 	57,052 	13.27 	429,971 	IL
Indiana 	15 	186,147 	53.00 	15 	163,632 	46.59 	- 	1,417 	0.40 	- 	22,515 	6.41 	351,196 	IN
Iowa 	11 	131,566 	60.81 	11 	81,636 	37.73 	- 	2,221 	1.03 	- 	49,930 	23.08 	216,365 	IA
Kansas 	5 	66,805 	66.46 	5 	32,970 	32.80 	- 	156 	0.16 	- 	33,835 	33.66 	100,512 	KS
Kentucky 	12 	88,766 	46.44 	- 	99,995 	52.32 	12 	2,374 	1.24 	- 	-11,229 	-5.87 	191,135 	KY
Louisiana 	8 	71,663 	55.69 	0 	57,029 	44.31 	- 	- 	- 	- 	14,634 	11.37 	128,692 	LA
Maine 	7 	61,426 	67.86 	7 	29,097 	32.14 	- 	- 	- 	- 	32,329 	35.71 	90,523 	ME
Maryland 	8 	66,760 	49.66 	- 	67,687 	50.34 	8 	- 	- 	- 	-927 	-0.69 	134,447 	MD
Massachusetts 	13 	133,455 	69.20 	13 	59,195 	30.69 	- 	- 	- 	- 	74,260 	38.50 	192,864 	MA
Michigan 	11 	138,758 	62.66 	11 	78,551 	35.47 	- 	2,875 	1.30 	- 	60,207 	27.19 	221,455 	MI
Minnesota 	5 	55,708 	61.27 	5 	35,211 	38.73 	- 	- 	- 	- 	20,497 	22.54 	90,919 	MN
Mississippi 	8 	82,175 	63.48 	8 	47,282 	36.52 	- 	- 	- 	- 	34,893 	26.95 	129,457 	MS
Missouri 	15 	119,196 	43.65 	- 	151,434 	55.46 	15 	2,429 	0.89 	- 	-32,238 	-11.81 	273,059 	MO
Nebraska 	3 	18,329 	70.68 	3 	7,603 	29.32 	- 	- 	- 	- 	10,726 	41.36 	25,932 	NE
Nevada 	3 	8,413 	57.43 	3 	6,236 	42.57 	- 	- 	- 	- 	2,177 	14.86 	14,649 	NV
New Hampshire 	5 	37,168 	53.94 	5 	31,425 	45.61 	- 	- 	- 	- 	5,743 	8.33 	68,906 	NH
New Jersey 	9 	91,656 	54.52 	9 	76,456 	45.48 	- 	- 	- 	- 	15,200 	9.04 	168,112 	NJ
New York 	35 	440,738 	53.23 	35 	387,282 	46.77 	- 	- 	- 	- 	53,456 	6.46 	828,020 	NY
North Carolina 	10 	94,772 	57.38 	10 	70,130 	42.46 	- 	261 	0.16 	- 	24,642 	14.92 	165,163 	NC
Ohio 	22 	281,852 	53.24 	22 	244,321 	46.15 	- 	1,163 	0.22 	- 	37,531 	7.09 	529,436 	OH
Oregon 	3 	11,818 	58.66 	3 	7,742 	38.43 	- 	587 	2.91 	- 	4,076 	20.23 	20,147 	OR
Pennsylvania 	29 	349,589 	62.07 	29 	212,041 	37.65 	- 	- 	- 	- 	137,548 	24.42 	563,262 	PA
Rhode Island 	4 	13,665 	71.94 	4 	5,329 	28.06 	- 	- 	- 	- 	8,336 	43.89 	18,994 	RI
South Carolina 	7 	72,290 	75.73 	7 	22,699 	23.78 	- 	204 	0.21 	- 	49,591 	51.95 	95,452 	SC
Tennessee 	12 	85,655 	47.84 	- 	93,391 	52.16 	12 	- 	- 	- 	-7,736 	-4.32 	179,046 	TN
Texas 	8 	47,468 	40.71 	- 	66,546 	57.07 	8 	2,580 	2.21 	- 	-19,078 	-16.36 	116,594 	TX
Vermont 	5 	41,480 	78.29 	5 	10,926 	20.62 	- 	553 	1.04 	- 	30,554 	57.67 	52,980 	VT
Virginia 	11 	93,463 	50.47 	11 	91,647 	49.49 	- 	85 	0.05 	- 	1,816 	0.98 	185,195 	VA
West Virginia 	5 	32,320 	51.74 	5 	29,532 	47.28 	- 	615 	0.98 	- 	2,788 	4.46 	62,467 	WV
Wisconsin 	10 	104,994 	54.60 	10 	86,477 	44.97 	- 	834 	0.43 	- 	18,517 	9.16 	192,305 	WI
TOTALS: 	366 	3,597,439 	55.58 	286 	2,833,710 	43.78 	66 	23,054 	0.36 	- 	763,729 	11.80 	6,471,983 	US
