William McKinley	Republican
William Jennings Bryan	Democratic
John Woolley	Prohibition
Eugene V. Debs	Social Democratic
Wharton Barker	Populist
Joseph F. Malloney	Socialist Labor
Margin
State Total
Alabama	11	55,612	34.82	-	97,129	60.82	11	2,763	1.73	-	-	-	-	4,188	2.62	-	-	-	-	-41,517	-26.00	159,692	AL
Arkansas	8	44,800	35.04	-	81,142	63.46	8	584	0.46	-	-	-	-	972	0.76	-	-	-	-	-36,342	-28.42	127,866	AR
California	9	164,755	54.50	9	124,985	41.34	-	5,024	1.66	-	-	-	-	-	-	-	7,554	2.50	-	39,770	13.16	302,318	CA
Colorado	4	93,072	42.04	-	122,733	55.43	4	3,790	1.71	-	714	0.32	-	389	0.18	-	684	0.31	-	-29,661	-13.40	221,408	CO
Connecticut	6	102,572	56.92	6	74,014	41.07	-	1,617	0.90	-	1,029	0.57	-	-	-	-	908	0.50	-	28,558	15.85	180,195	CT
Delaware	3	22,535	53.67	3	18,852	44.90	-	546	1.30	-	56	0.13	-	-	-	-	-	-	-	3,683	8.77	41,989	DE
Florida	4	7,355	18.55	-	28,273	71.31	4	2,244	5.66	-	634	1.60	-	1,143	2.88	-	-	-	-	-20,918	-52.76	39,649	FL
Georgia	13	34,260	28.22	-	81,180	66.86	13	1,402	1.15	-	-	-	-	4,568	3.76	-	-	-	-	-46,920	-38.65	121,410	GA
Idaho	3	27,198	46.96	-	29,414	50.79	3	857	1.48	-	-	-	-	445	0.77	-	-	-	-	-2,216	-3.83	57,914	ID
Illinois	24	597,985	52.83	24	503,061	44.44	-	17,626	1.56	-	9,687	0.86	-	1,141	0.10	-	1,373	0.12	-	94,924	8.39	1,131,897	IL
Indiana	15	336,063	50.60	15	309,584	46.62	-	13,718	2.07	-	2,374	0.36	-	1,438	0.22	-	663	0.10	-	26,479	3.99	664,094	IN
Iowa	13	307,808	58.04	13	209,265	39.46	-	9,502	1.79	-	2,742	0.52	-	613	0.12	-	259	0.05	-	98,543	18.58	530,355	IA
Kansas	10	185,955	52.56	10	162,601	45.96	-	3,605	1.02	-	1,605	0.45	-	-	-	-	-	-	-	23,354	6.60	353,766	KS
Kentucky	13	227,132	48.51	-	235,126	50.21	13	2,890	0.62	-	766	0.16	-	1,961	0.42	-	390	0.08	-	-7,994	-1.71	468,265	KY
Louisiana	8	14,234	20.96	-	53,668	79.03	8	-	-	-	-	-	-	-	-	-	-	-	-	-39,434	-58.07	67,906	LA
Maine	6	65,412	61.89	6	36,822	34.84	-	2,581	2.44	-	878	0.83	-	-	-	-	-	-	-	28,590	27.05	105,693	ME
Maryland	8	136,185	51.50	8	122,238	46.23	-	4,574	1.73	-	904	0.34	-	-	-	-	388	0.15	-	13,947	5.27	264,434	MD
Massachusetts	15	238,866	57.59	15	156,997	37.85	-	6,202	1.50	-	9,607	2.32	-	-	-	-	2,599	0.63	-	81,869	19.74	414,804	MA
Michigan	14	316,269	58.10	14	211,685	38.89	-	11,859	2.18	-	2,826	0.52	-	903	0.17	-	837	0.15	-	104,584	19.21	544,379	MI
Minnesota	9	190,461	60.21	9	112,901	35.69	-	8,555	2.70	-	3,065	0.97	-	-	-	-	1,329	0.42	-	77,560	24.52	316,311	MN
Mississippi	9	5,707	9.66	-	51,706	87.56	9	-	-	-	-	-	-	1,642	2.78	-	-	-	-	-45,999	-77.89	59,055	MS
Missouri	17	314,092	45.94	-	351,922	51.48	17	5,965	0.87	-	6,139	0.90	-	4,244	0.62	-	1,294	0.19	-	-37,830	-5.53	683,656	MO
Montana	3	25,409	39.79	-	37,311	58.43	3	306	0.48	-	711	1.11	-	-	-	-	119	0.19	-	-11,902	-18.64	63,856	MT
Nebraska	8	121,835	50.46	8	114,013	47.22	-	3,655	1.51	-	823	0.34	-	1,104	0.46	-	-	-	-	7,822	3.24	241,430	NE
Nevada	3	3,849	37.75	-	6,347	62.25	3	-	-	-	-	-	-	-	-	-	-	-	-	-2,498	-24.50	10,196	NV
New Hampshire	4	54,799	59.33	4	35,489	38.42	-	1,270	1.37	-	790	0.86	-	-	-	-	-	-	-	19,310	20.91	92,364	NH
New Jersey	10	221,707	55.28	10	164,808	41.09	-	7,183	1.79	-	4,609	1.15	-	669	0.17	-	2,074	0.52	-	56,899	14.19	401,050	NJ
New York	36	822,013	53.10	36	678,462	43.83	-	22,077	1.43	-	12,869	0.83	-	-	-	-	12,621	0.82	-	143,551	9.27	1,548,042	NY
North Carolina	11	132,997	45.47	-	157,733	53.92	11	990	0.34	-	-	-	-	798	0.27	-	-	-	-	-24,736	-8.46	292,518	NC
North Dakota	3	35,898	62.12	3	20,531	35.53	-	2,536	3.01	-	1,494	1.77	-	275	0.33	-	-	-	-	13,141	15.60	84,216	ND
Ohio	23	543,918	52.30	23	474,882	45.66	-	10,203	0.98	-	4,847	0.47	-	251	0.02	-	1,688	0.16	-	69,036	6.64	1,040,073	OH
Oregon	4	46,172	55.46	4	32,810	39.41	-	2,536	3.05	-	1,464	1.76	-	269	0.32	-	-	-	-	13,362	16.05	83,251	OR
Pennsylvania	32	712,665	60.74	32	424,232	36.16	-	27,908	2.38	-	4,831	0.41	-	638	0.05	-	2,936	0.25	-	288,433	24.58	1,173,210	PA
Rhode Island	4	33,784	59.74	4	19,812	35.04	-	1,529	2.70	-	-	-	-	-	-	-	1,423	2.52	-	13,972	24.71	56,548	RI
