Barack Obama	Democratic																									
John McCain	Republican																									
Ralph Nader	Independent																									
Bob Barr	Libertarian																									
Chuck Baldwin	Constitution																									
Cynthia McKinney	Green																									
Others	Other																									
Margin																										
State Total																										
Alabama	9	813479	38.74%	-0	1266546	60.32%	9	6788	0.32%	-0	4991	0.24%	-0	4310	0.21%	-0	0	0.00%	-0	3705	0.18%	-0	-453067	-21.58%	2099819	AL
Alaska	3	123594	37.89%	-0	193841	59.42%	3	3783	1.16%	-0	1589	0.49%	-0	1660	0.51%	-0	0	0.00%	-0	1730	0.53%	-0	-70247	-21.54%	326197	AK
Arizona	10	1034707	45.12%	-0	1230111	53.64%	10	11301	0.49%	-0	12555	0.55%	-0	1371	0.06%	-0	3406	0.15%	-0	24	0.00%	-0	-195404	-8.52%	2293475	AZ
Arkansas	6	422310	38.86%	-0	638017	58.72%	6	12882	1.19%	-0	4776	0.44%	-0	4023	0.37%	-0	3470	0.32%	-0	1139	0.10%	-0	-215707	-19.85%	1086617	AR
California	55	8274473	61.01%	55	5011781	36.95%	-0	108381	0.80%	-0	67582	0.50%	-0	3145	0.02%	-0	38774	0.29%	-0	57764	0.43%	-0	3262692	24.06%	13561900	CA
Colorado	9	1288633	53.66%	9	1073629	44.71%	-0	13352	0.56%	-0	10898	0.45%	-0	6233	0.26%	-0	2822	0.12%	-0	5895	0.25%	-0	215004	8.95%	2401462	CO
Connecticut	7	997772	60.59%	7	629428	38.22%	-0	19162	1.16%	-0	0	0.00%	-0	311	0.02%	-0	90	0.01%	-0	34	0.00%	-0	368344	22.37%	1646797	CT
Delaware	3	255459	61.94%	3	152374	36.95%	-0	2401	0.58%	-0	1109	0.27%	-0	626	0.15%	-0	385	0.09%	-0	58	0.01%	-0	103085	25.00%	412412	DE
D.C.	3	245800	92.46%	3	17367	6.53%	-0	958	0.36%	-0	0	0.00%	-0	0	0.00%	-0	590	0.22%	-0	1138	0.43%	-0	228433	85.92%	265853	DC
Florida	27	4282074	51.03%	27	4045624	48.22%	-0	28124	0.34%	-0	17218	0.21%	-0	7915	0.09%	-0	2887	0.03%	-0	6902	0.08%	-0	236450	2.82%	8390744	FL
