Dwight D. Eisenhower	Republican
Adlai Stevenson	Democratic
Vincent Hallinan	Progressive
Stuart Hamblen	Prohibition
Eric Hass	Socialist Labor
Margin
State Total
Alabama	11	149,231	35.02	–	275,075	64.55	11	–	–	–	1,814	0.43	–	–	–	–	-125,844	-29.53	426,120	AL
Arizona	4	152,042	58.35	4	108,528	41.65	–	–	–	–	–	–	–	–	–	–	43,514	16.70	260,570	AZ
Arkansas	8	177,155	43.76	–	226,300	55.90	8	–	–	–	886	0.22	–	1	0.00	–	-49,145	-12.14	404,800	AR
California	32	3,035,587	56.83	32	2,257,646	42.27	–	24,692	0.46	–	16,117	0.30	–	273	0.01	–	777,941	14.56	5,341,603	CA
Colorado	6	379,782	60.27	6	245,504	38.96	–	1,919	0.30	–	–	–	–	352	0.06	–	134,278	21.31	630,103	CO
Connecticut	8	611,012	55.70	8	481,649	43.91	–	1,466	0.13	–	–	–	–	535	0.05	–	129,363	11.79	1,096,911	CT
Delaware	3	90,059	51.75	3	83,315	47.88	–	155	0.09	–	234	0.13	–	242	0.14	–	6,744	3.88	174,025	DE
Florida	10	544,036	54.99	10	444,950	44.97	–	–	–	–	–	–	–	–	–	–	99,086	10.02	989,337	FL
Georgia	12	198,979	30.34	–	456,823	69.66	12	–	–	–	–	–	–	–	–	–	-257,844	-39.32	655,803	GA
Idaho	4	180,707	65.42	4	95,081	34.42	–	443	0.16	–	–	–	–	–	–	–	85,626	31.00	276,231	ID
Illinois	27	2,457,327	54.84	27	2,013,920	44.94	–	–	–	–	–	–	–	9,363	0.21	–	443,407	9.90	4,481,058	IL
Indiana	13	1,136,259	58.11	13	801,530	40.99	–	1,222	0.06	–	15,335	0.78	–	979	0.05	–	334,729	17.12	1,955,325	IN
Iowa	10	808,906	63.75	10	451,513	35.59	–	5,085	0.40	–	2,882	0.23	–	139	0.01	–	357,393	28.17	1,268,773	IA
Kansas	8	616,302	68.77	8	273,296	30.50	–	–	–	–	6,038	0.67	–	–	–	–	343,006	38.27	896,166	KS
Kentucky	10	495,029	49.84	–	495,729	49.91	10	336	0.03	–	1,161	0.12	–	893	0.09	–	-700	-0.07	993,148	KY
Louisiana	10	306,925	47.08	–	345,027	52.92	10	–	–	–	–	–	–	–	–	–	-38,102	-5.84	651,952	LA
Maine	5	232,353	66.05	5	118,806	33.77	–	332	0.09	–	–	–	–	156	0.04	–	113,547	32.28	351,786	ME
Maryland	9	499,424	55.36	9	395,337	43.83	–	7,313	0.81	–	–	–	–	–	–	–	104,087	11.54	902,074	MD
Massachusetts	16	1,292,325	54.22	16	1,083,525	45.46	–	4,636	0.19	–	886	0.04	–	1,957	0.08	–	208,800	8.76	2,383,398	MA
Michigan	20	1,551,529	55.44	20	1,230,657	43.97	–	3,922	0.14	–	10,331	0.37	–	1,495	0.05	–	320,872	11.47	2,798,592	MI
Minnesota	11	763,211	55.33	11	608,458	44.11	–	2,666	0.19	–	2,147	0.16	–	2,383	0.17	–	154,753	11.22	1,379,483	MN
Mississippi	8	112,966	39.56	–	172,566	60.44	8	–	–	–	–	–	–	–	–	–	-59,600	-20.87	285,532	MS
Missouri	13	959,429	50.71	13	929,830	49.14	–	987	0.05	–	885	0.05	–	169	0.01	–	29,599	1.56	1,892,062	MO
Montana	4	157,394	59.39	4	106,213	40.07	–	723	0.27	–	548	0.21	–	–	–	–	51,181	19.31	265,037	MT
Nebraska	6	421,603	69.15	6	188,057	30.85	–	–	–	–	–	–	–	–	–	–	233,546	38.31	609,660	NE
Nevada	3	50,502	61.45	3	31,688	38.55	–	–	–	–	–	–	–	–	–	–	18,814	22.89	82,190	NV
New Hampshire	4	166,287	60.92	4	106,663	39.08	–	–	–	–	–	–	–	–	–	–	59,624	21.84	272,950	NH
New Jersey	16	1,374,613	56.81	16	1,015,902	41.99	–	5,589	0.23	–	989	0.04	–	5,815	0.24	–	358,711	14.83	2,419,554	NJ
New Mexico	4	132,170	55.39	4	105,661	44.28	–	225	0.09	–	297	0.12	–	35	0.01	–	26,509	11.11	238,608	NM
New York	45	3,952,815	55.45	45	3,104,601	43.55	–	64,211	0.90	–	–	–	–	1,560	0.02	–	848,214	11.90	7,128,241	NY
North Carolina	14	558,107	46.09	–	652,803	53.91	14	–	–	–	–	–	–	–	–	–	-94,696	-7.82	1,210,910	NC
North Dakota	4	191,712	70.97	4	76,694	28.39	–	344	0.13	–	302	0.11	–	–	–	–	115,018	42.58	270,127	ND
Ohio	25	2,100,391	56.76	25	1,600,367	43.24	–	–	–	–	–	–	–	–	–	–	500,024	13.51	3,700,758	OH
Oklahoma	8	518,045	54.59	8	430,939	45.41	–	–	–	–	–	–	–	–	–	–	87,106	9.18	948,984	OK
Oregon	6	420,815	60.54	6	270,579	38.93	–	3,665	0.53	–	–	–	–	–	–	–	150,236	21.61	695,059	OR
Pennsylvania	32	2,415,789	52.74	32	2,146,269	46.85	–	4,222	0.09	–	8,951	0.20	–	1,377	0.03	–	269,520	5.88	4,580,969	PA
Rhode Island	4	210,935	50.89	4	203,293	49.05	–	187	0.05	–	–	–	–	83	0.02	–	7,642	1.84	414,498	RI
South Carolina	8	168,082	49.28	–	173,004	50.72	8	–	–	–	–	–	–	–	–	–	-4,922	-1.44	341,086	SC
South Dakota	4	203,857	69.27	4	90,426	30.73	–	–	–	–	–	–	–	–	–	–	113,431	38.54	294,283	SD
Tennessee	11	446,147	49.99	11	443,710	49.71	–	885	0.10	–	1,432	0.16	–	–	–	–	2,437	0.27	892,553	TN
Texas	24	1,102,878	53.13	24	969,228	46.69	–	294	0.01	–	1,983	0.10	–	–	–	–	133,650	6.44	2,075,946	TX
Utah	4	194,190	58.93	4	135,364	41.07	–	–	–	–	–	–	–	–	–	–	58,826	17.85	329,554	UT
Vermont	3	109,717	71.45	3	43,355	28.23	–	282	0.18	–	–	–	–	–	–	–	66,362	43.22	153,557	VT
Virginia	12	349,037	56.32	12	268,677	43.36	–	311	0.05	–	–	–	–	1,160	0.19	–	80,360	12.97	619,689	VA
Washington	9	599,107	54.33	9	492,845	44.69	–	2,460	0.22	–	–	–	–	633	0.06	–	106,262	9.64	1,102,708	WA
West Virginia	8	419,970	48.08	–	453,578	51.92	8	–	–	–	–	–	–	–	–	–	-33,608	-3.85	873,548	WV
Wisconsin	12	979,744	60.95	12	622,175	38.71	–	2,174	0.14	–	–	–	–	770	0.05	–	357,569	22.25	1,607,370	WI
Wyoming	3	81,047	62.71	3	47,934	37.09	–	–	–	–	194	0.15	–	36	0.03	–	33,113	25.62	129,251	WY
TOTALS:	531	34,075,529	55.18	442	27,375,090	44.33	89	140,746	0.23	–	73,412	0.12	–	30,406	0.05	–	6,700,439	10.85	61,751,942	US
