Grover Cleveland	Democratic
James Blaine	Republican
John St. John	Prohibition
Benjamin Butler	Greenback
Margin
State Total
Alabama	10	92,736	60.37	10	59,444	38.69	–	610	0.40	–	762	0.50	–	33,292	21.67	153,624	AL
Arkansas	7	72,734	57.83	7	51,198	40.70	–	–	–	–	1,847	1.47	–	21,536	17.12	125,779	AR
California	8	89,288	45.33	–	102,369	51.97	8	2,965	1.51	–	2,037	1.03	–	−13,081	−6.64	196,988	CA
Colorado	3	27,723	41.68	–	36,084	54.25	3	756	1.14	–	1,956	2.94	–	−8,361	−12.57	66,519	CO
Connecticut	6	67,182	48.95	6	65,898	48.01	–	2,493	1.82	–	1,684	1.23	–	1,284	0.94	137,257	CT
Delaware	3	16,957	56.55	3	12,953	43.20	–	64	0.21	–	10	0.03	–	4,004	13.35	29,984	DE
Florida	4	31,769	52.96	4	28,031	46.73	–	72	0.12	–	–	–	–	3,738	6.23	59,990	FL
Georgia	12	94,667	65.92	12	48,603	33.84	–	195	0.14	–	145	0.10	–	46,064	32.08	143,610	GA
Illinois	22	312,351	46.43	–	337,469	50.17	22	12,074	1.79	–	10,776	1.60	–	−25,118	−3.73	672,670	IL
Indiana	15	245,005	49.46	15	238,489	48.15	–	3,028	0.61	–	8,810	1.78	–	6,516	1.32	495,332	IN
Iowa	13	177,316	47.01	–	197,089	52.25	13	1,499	0.40	–	–	–	–	−19,773	−5.24	377,201	IA
Kansas	9	90,132	33.90	–	154,406	58.08	9	4,495	1.69	–	16,346	6.15	–	−64,274	−24.18	265,848	KS
Kentucky	13	152,961	55.32	13	118,690	42.93	–	3,139	1.14	–	1,691	0.61	–	34,271	12.40	276,481	KY
Louisiana	8	62,594	57.22	8	46,347	42.37	–	338	0.31	–	120	0.11	–	16,247	14.85	109,399	LA
Maine	6	52,153	39.97	–	72,217	55.34	6	2,160	1.66	–	3,955	3.03	–	−20,064	−15.38	130,491	ME
Maryland	8	96,866	52.07	8	85,748	46.10	–	2,827	1.52	–	578	0.31	–	11,118	5.98	186,019	MD
Massachusetts	14	122,352	40.33	–	146,724	48.36	14	9,923	3.27	–	24,382	8.04	–	−24,372	−8.03	303,383	MA
Michigan	13	189,361	47.20	–	192,669	48.02	13	18,403	4.59	–	753	0.19	–	−3,308	−0.82	401,186	MI
Minnesota	7	70,065	36.87	–	111,685	58.78	7	4,684	2.47	–	3,583	1.89	–	−41,620	−21.90	190,017	MN
Mississippi	9	77,653	64.34	9	43,035	35.66	–	–	–	–	–	–	–	34,618	28.68	120,688	MS
Missouri	16	236,023	53.49	16	203,081	46.02	–	2,164	0.49	–	–	–	–	32,942	7.47	441,268	MO
Nebraska	5	54,391	40.53	–	76,912	57.31	5	2,899	2.16	–	–	–	–	−22,521	−16.78	134,202	NE
Nevada	3	5,578	43.59	–	7,193	56.21	3	–	–	–	26	0.20	–	−1,615	−12.62	12,797	NV
New Hampshire	4	39,198	46.34	–	43,254	51.14	4	1,580	1.87	–	554	0.65	–	−4,056	−4.80	84,586	NH
New Jersey	9	127,798	48.98	9	123,440	47.31	–	6,159	2.36	–	3,496	1.34	–	4,358	1.67	260,921	NJ
New York	36	563,154	48.25	36	562,005	48.15	–	25,006	2.14	–	17,004	1.46	–	1,149	0.10	1,167,169	NY
North Carolina	11	142,905	53.25	11	125,021	46.59	–	430	0.16	–	–	–	–	17,884	6.66	268,356	NC
Ohio	23	368,280	46.94	–	400,082	50.99	23	11,069	1.41	–	5,179	0.66	–	−31,802	−4.05	784,610	OH
Oregon	3	24,604	46.70	–	26,860	50.99	3	492	0.93	–	726	1.38	–	−2,256	−4.28	52,682	OR
Pennsylvania	30	392,785	43.46	–	478,804	52.97	30	15,283	1.69	–	16,992	1.88	–	−86,019	−9.52	903,864	PA
Rhode Island	4	12,391	37.81	–	19,030	58.07	4	928	2.83	–	422	1.29	–	−6,639	−20.26	32,771	RI
South Carolina	9	69,845	75.25	9	21,730	23.41	–	–	–	–	–	–	–	48,115	51.84	92,812	SC
Tennessee	12	133,770	51.45	12	124,101	47.74	–	1,150	0.44	–	957	0.37	–	9,669	3.72	259,978	TN
Texas	13	225,309	69.26	13	93,141	28.63	–	3,534	1.09	–	3,321	1.02	–	132,168	40.63	325,305	TX
Vermont	4	17,331	29.18	–	39,514	66.52	4	1,753	2.95	–	785	1.32	–	−22,183	−37.34	59,401	VT
Virginia	12	145,491	51.05	12	139,356	48.90	–	130	0.05	–	–	–	–	6,135	2.15	284,977	VA
West Virginia	6	67,311	50.94	6	63,096	47.75	–	939	0.71	–	799	0.60	–	4,215	3.19	132,145	WV
Wisconsin	11	146,453	45.79	–	161,135	50.38	11	7,649	2.39	–	4,598	1.44	–	−14,682	−4.59	319,835	WI
TOTALS:	401	4,914,482	48.85	219	4,856,903	48.28	182	150,890	1.50	–	134,294	1.33	–	57,579	0.57	10,060,145	US
