Grover Cleveland	Democratic
Benjamin Harrison	Republican
Clinton Fisk	Prohibition
Alson Streeter	Union Labor
Margin
State Total
Alabama	10	117,314	67.00	10	57,177	32.66	-	594	0.34	-	-	-	-	-60,137	-34.35	175,085	AL
Arkansas	7	86,062	54.80	7	59,752	38.04	-	614	0.39	-	10,630	6.77	-	-26,310	-16.75	157,058	AR
California	8	117,729	46.84	-	124,816	49.66	8	5,761	2.29	-	-	-	-	7,087	2.82	251,339	CA
Colorado	3	37,549	40.84	-	50,772	55.22	3	2,182	2.37	-	1,266	1.38	-	13,223	14.38	91,946	CO
Connecticut	6	74,920	48.66	6	74,584	48.44	-	4,234	2.75	-	240	0.16	-	-336	-0.22	153,978	CT
Delaware	3	16,414	55.15	3	12,950	43.51	-	399	1.34	-	-	-	-	-3,464	-11.64	29,764	DE
Florida	4	39,557	59.48	4	26,529	39.89	-	414	0.62	-	-	-	-	-13,028	-19.59	66,500	FL
Georgia	12	100,493	70.31	12	40,499	28.33	-	1,808	1.26	-	136	0.10	-	-59,994	-41.97	142,936	GA
Illinois	22	348,351	46.58	-	370,475	49.54	22	21,703	2.90	-	7,134	0.95	-	22,124	2.96	747,813	IL
Indiana	15	261,013	48.61	-	263,361	49.05	15	9,881	1.84	-	2,694	0.50	-	2,348	0.44	536,949	IN
Iowa	13	179,877	44.51	-	211,603	52.36	13	3,550	0.88	-	9,105	2.25	-	31,726	7.85	404,135	IA
Kansas	9	102,745	31.03	-	182,904	55.23	9	6,779	2.05	-	37,788	11.41	-	80,159	24.21	331,149	KS
Kentucky	13	183,830	53.30	13	155,138	44.98	-	5,223	1.51	-	677	0.20	-	-28,692	-8.32	344,868	KY
Louisiana	8	85,032	73.37	8	30,660	26.46	-	160	0.14	-	39	0.03	-	-54,372	-46.92	115,891	LA
Maine	6	50,472	39.35	-	73,730	57.49	6	2,691	2.10	-	1,344	1.05	-	23,258	18.13	128,253	ME
Maryland	8	106,188	50.34	8	99,986	47.40	-	4,767	2.26	-	-	-	-	-6,202	-2.94	210,941	MD
Massachusetts	14	151,590	44.04	-	183,892	53.42	14	8,701	2.53	-	-	-	-	32,302	9.38	344,243	MA
Michigan	13	213,469	44.91	-	236,387	49.73	13	20,945	4.41	-	4,555	0.96	-	22,918	4.82	475,356	MI
Minnesota	7	104,385	39.65	-	142,492	54.12	7	15,311	5.82	-	1,097	0.42	-	38,107	14.47	263,285	MN
Mississippi	9	85,451	73.80	9	30,095	25.99	-	240	0.21	-	-	-	-	-55,356	-47.81	115,786	MS
Missouri	16	261,943	50.24	16	236,252	45.31	-	4,539	0.87	-	18,626	3.57	-	-25,691	-4.93	521,360	MO
Nebraska	5	80,552	39.75	-	108,425	53.51	5	9,429	4.65	-	4,226	2.09	-	27,873	13.76	202,632	NE
Nevada	3	5,149	41.94	-	7,088	57.73	3	41	0.33	-	-	-	-	1,939	15.79	12,278	NV
New Hampshire	4	43,456	47.84	-	45,728	50.34	4	1,593	1.75	-	-	-	-	2,272	2.50	90,835	NH
New Jersey	9	151,508	49.87	9	144,360	47.52	-	7,933	2.61	-	-	-	-	-7,148	-2.35	303,801	NJ
New York	36	635,965	48.19	-	650,338	49.28	36	30,231	2.29	-	627	0.05	-	14,373	1.09	1,319,748	NY
North Carolina	11	147,902	51.79	11	134,784	47.20	-	2,840	0.99	-	-	-	-	-13,118	-4.59	285,563	NC
Ohio	23	396,455	47.18	-	416,054	49.51	23	24,356	2.90	-	3,496	0.42	-	19,599	2.33	840,361	OH
Oregon	3	26,522	42.88	-	33,291	53.82	3	1,677	2.71	-	-	-	-	6,769	10.94	61,853	OR
Pennsylvania	30	446,633	44.77	-	526,091	52.74	30	20,947	2.10	-	3,873	0.39	-	79,458	7.97	997,568	PA
Rhode Island	4	17,530	42.99	-	21,969	53.88	4	1,251	3.07	-	18	0.04	-	4,439	10.89	40,775	RI
South Carolina	9	65,824	82.28	9	13,736	17.17	-	-	-	-	-	-	-	-52,088	-65.11	79,997	SC
Tennessee	12	158,699	52.26	12	138,978	45.76	-	5,969	1.97	-	48	0.02	-	-19,721	-6.49	303,694	TN
Texas	13	234,883	65.70	13	88,422	24.73	-	4,749	1.33	-	29,459	8.24	-	-146,461	-40.97	357,513	TX
Vermont	4	16,788	25.65	-	45,192	69.05	4	1,460	2.23	-	1,977	3.02	-	28,404	43.40	65,452	VT
Virginia	12	152,004	49.99	12	150,399	49.46	-	1,684	0.55	-	-	-	-	-1,605	-0.53	304,087	VA
West Virginia	6	78,677	49.35	6	78,171	49.03	-	1,084	0.68	-	1,508	0.95	-	-506	-0.32	159,440	WV
Wisconsin	11	155,232	43.77	-	176,553	49.79	11	14,277	4.03	-	8,552	2.41	-	21,321	6.01	354,614	WI
TOTALS:	401	5,538,163	48.63	168	5,443,633	47.80	233	250,017	2.20	-	149,115	1.31	-	-94,530	-0.83	11,388,846	US
