Franklin D. Roosevelt	Democratic
Herbert Hoover	Republican
Norman Thomas	Socialist
Other	Other
Margin
State Total
Alabama	11	207,910	84.74	11	34,675	14.13	-	2,030	0.83	-	739	0.30	-	173,235	70.61	245,354	AL
Arizona	3	79,264	67.03	3	36,104	30.53	-	2,618	2.21	-	265	0.22	-	43,160	36.50	118,251	AZ
Arkansas	9	189,602	85.96	9	28,467	12.91	-	1,269	0.58	-	1,224	0.55	-	161,135	73.06	220,562	AR
California	22	1,324,157	58.39	22	847,902	37.39	-	63,299	2.79	-	32,608	1.44	-	476,255	21.00	2,267,966	CA
Colorado	6	250,877	54.81	6	189,617	41.43	-	13,591	2.97	-	3,611	0.79	-	61,260	13.38	457,696	CO
Connecticut	8	281,632	47.40	-	288,420	48.54	8	20,840	3.45	-	3,651	0.61	-	-6,788	-1.14	594,183	CT
Delaware	3	54,319	48.11	-	57,073	50.55	3	1,376	1.22	-	133	0.12	-	-2,754	-2.44	112,901	DE
Florida	7	206,307	74.68	7	69,170	25.04	-	775	0.28	-	-	-	-	137,137	49.64	276,252	FL
Georgia	12	234,118	91.60	12	19,863	7.77	-	461	0.18	-	1,148	0.45	-	214,255	83.83	255,590	GA
Idaho	4	109,479	58.66	4	71,417	38.27	-	526	0.28	-	5,203	2.79	-	38,062	20.39	186,625	ID
Illinois	29	1,882,304	55.23	29	1,432,756	42.04	-	67,258	1.97	-	25,608	0.75	-	449,548	13.19	3,407,926	IL
Indiana	14	862,054	54.67	14	677,184	42.94	-	21,388	1.36	-	16,301	1.03	-	184,870	11.72	1,576,927	IN
Iowa	11	598,019	57.69	11	414,433	39.98	-	20,467	1.97	-	3,768	0.36	-	183,586	17.71	1,036,687	IA
Kansas	9	424,204	53.56	9	349,498	44.13	-	18,276	2.31	-	-	-	-	74,706	9.43	791,978	KS
Kentucky	11	580,574	59.06	11	394,716	40.15	-	3,853	0.39	-	3,920	0.40	-	185,858	18.91	983,063	KY
Louisiana	10	249,418	92.79	10	18,853	7.01	-	-	-	-	533	0.20	-	230,565	85.77	268,804	LA
Maine	5	128,907	43.19	-	166,631	55.83	5	2,489	0.83	-	417	0.14	-	-37,724	-12.64	298,444	ME
Maryland	8	314,314	61.50	8	184,184	36.04	-	10,489	2.05	-	2,067	0.40	-	130,130	25.46	511,054	MD
Massachusetts	17	800,148	50.64	17	736,959	46.64	-	34,305	2.17	-	8,702	0.55	-	63,189	4.00	1,580,114	MA
Michigan	19	871,700	52.36	19	739,894	44.44	-	39,205	2.35	-	13,966	0.84	-	131,806	7.92	1,664,765	MI
Minnesota	11	600,806	59.91	11	363,959	36.29	-	25,476	2.54	-	12,602	1.26	-	236,847	23.62	1,002,843	MN
Mississippi	9	140,168	95.98	9	5,180	3.55	-	686	0.47	-	-	-	-	134,988	92.44	146,034	MS
Missouri	15	1,025,406	63.69	15	564,713	35.08	-	16,374	1.02	-	3,401	0.21	-	460,693	28.62	1,609,894	MO
Montana	4	127,286	58.80	4	78,078	36.07	-	7,891	3.65	-	3,224	1.49	-	49,208	22.73	216,479	MT
Nebraska	7	359,082	62.98	7	201,177	35.29	-	9,876	1.73	-	2	0.00	-	157,905	27.70	570,137	NE
Nevada	3	28,756	69.41	3	12,674	30.59	-	-	-	-	-	-	-	16,082	38.82	41,430	NV
New Hampshire	4	100,680	48.99	-	103,629	50.42	4	947	0.46	-	264	0.13	-	-2,949	-1.43	205,520	NH
New Jersey	16	806,394	49.49	16	775,406	47.59	-	42,988	2.64	-	4,719	0.29	-	30,988	1.90	1,629,507	NJ
New Mexico	3	95,089	62.72	3	54,217	35.76	-	1,776	1.17	-	524	0.35	-	40,872	26.96	151,606	NM
New York	47	2,534,959	54.07	47	1,937,963	41.33	-	177,397	3.78	-	38,295	0.82	-	596,996	12.73	4,688,614	NY
North Carolina	13	497,566	69.93	13	208,344	29.28	-	5,591	0.79	-	-	-	-	289,222	40.65	711,501	NC
North Dakota	4	178,350	69.59	4	71,772	28.00	-	3,521	1.37	-	2,647	1.03	-	106,578	41.58	256,290	ND
Ohio	26	1,301,695	49.88	26	1,227,319	47.03	-	64,094	2.46	-	16,620	0.64	-	74,376	2.85	2,609,728	OH
Oklahoma	11	516,468	73.30	11	188,165	26.70	-	-	-	-	-	-	-	328,303	46.59	704,633	OK
Oregon	5	213,871	57.99	5	136,019	36.88	-	15,450	4.19	-	3,468	0.94	-	77,852	21.11	368,808	OR
Pennsylvania	36	1,295,948	45.33	-	1,453,540	50.84	36	91,223	3.19	-	18,466	0.65	-	-157,592	-5.51	2,859,177	PA
Rhode Island	4	146,604	55.08	4	115,266	43.31	-	3,138	1.18	-	1,162	0.44	-	31,338	11.77	266,170	RI
South Carolina	8	102,347	98.03	8	1,978	1.89	-	82	0.08	-	-	-	-	100,369	96.13	104,407	SC
South Dakota	4	183,515	63.62	4	99,212	34.40	-	1,551	0.54	-	4,160	1.44	-	84,303	29.23	288,438	SD
Tennessee	11	259,473	66.49	11	126,752	32.48	-	1,796	0.46	-	2,235	0.57	-	132,721	34.01	390,256	TN
Texas	23	760,348	88.06	23	97,959	11.35	-	4,450	0.52	-	669	0.08	-	662,389	76.72	836,426	TX
Utah	4	116,750	56.52	4	84,795	41.05	-	4,087	1.98	-	946	0.46	-	31,955	15.47	206,578	UT
Vermont	3	56,266	41.08	-	78,984	57.66	3	1,533	1.12	-	197	0.14	-	-22,718	-16.58	136,980	VT
Virginia	11	203,979	68.46	11	89,637	30.09	-	2,382	0.80	-	1,944	0.65	-	114,342	38.38	297,942	VA
Washington	8	353,260	57.46	8	208,645	33.94	-	17,080	2.78	-	35,829	5.83	-	144,615	23.52	614,814	WA
West Virginia	8	405,124	54.47	8	330,731	44.47	-	5,133	0.69	-	2,786	0.37	-	74,393	10.00	743,774	WV
Wisconsin	12	707,410	63.46	12	347,741	31.19	-	53,379	4.79	-	6,278	0.56	-	359,669	32.26	1,114,808	WI
Wyoming	3	54,370	56.07	3	39,583	40.82	-	2,829	2.92	-	180	0.19	-	14,787	15.25	96,962	WY
TOTALS:	531	22,821,277	57.41	472	15,761,254	39.65	59	884,885	2.23	-	284,482	0.72		7,060,023	17.76	39,751,898	US
