Warren G. Harding	Republican
James Cox	Democratic
Eugene Debs	Socialist
Parley Christensen	Farmer-Labor
Aaron Watkins	Prohibition
James Ferguson	American
William Cox	Socialist Labor
Margin	
State Total
Alabama	12	74,556	31.37	-	159,965	67.31	12	2,369	1.00	-	-	-	-	748	0.31	-	-	-	-	-	-	-	-85,409	-35.94	237,638	AL
Arizona	3	37,016	55.61	3	29,546	44.39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7,470	11.22	66,562	AZ
Arkansas	9	71,117	38.73	-	107,409	58.49	9	5,111	2.78	-	-	-	-	-	-	-	-	-	-	-	-	-	-36,292	-19.76	183,637	AR
California	13	624,992	66.20	13	229,191	24.28	-	64,076	6.79	-	-	-	-	25,204	2.67	-	-	-	-	-	-	-	395,801	41.93	944,050	CA
Colorado	6	173,248	59.32	6	104,936	35.93	-	8,046	2.75	-	3,016	1.03	-	2,807	0.96	-	-	-	-	-	-	-	68,312	23.39	292,053	CO
Connecticut	7	229,238	62.72	7	120,721	33.03	-	10,350	2.83	-	1,947	0.53	-	1,771	0.48	-	-	-	-	1,491	0.41	-	108,517	29.69	365,518	CT
Delaware	3	52,858	55.71	3	39,911	42.07	-	988	1.04	-	93	0.10	-	986	1.04	-	-	-	-	-	-	-	12,947	13.65	94,875	DE
Florida	6	44,853	30.79	-	90,515	62.13	6	5,189	3.56	-	-	-	-	5,124	3.52	-	-	-	-	-	-	-	-45,662	-31.34	145,681	FL
Georgia	14	41,089	27.72	-	107,162	72.28	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-66,073	-44.57	148,251	GA
Idaho	4	88,975	65.60	4	46,579	34.34	-	38	0.03	-	-	-	-	32	0.02	-	-	-	-	-	-	-	42,396	31.26	135,624	ID
Illinois	29	1,420,480	67.81	29	534,395	25.51	-	74,747	3.57	-	49,630	2.37	-	11,216	0.54	-	-	-	-	3,471	0.17	-	886,085	42.30	2,094,714	IL
Indiana	15	696,370	55.14	15	511,364	40.49	-	24,703	1.96	-	16,499	1.31	-	13,462	1.07	-	-	-	-	-	-	-	185,006	14.65	1,262,964	IN
Iowa	13	634,674	70.91	13	227,921	25.46	-	16,981	1.90	-	10,321	1.15	-	4,197	0.47	-	-	-	-	982	0.11	-	406,753	45.44	895,082	IA
Kansas	10	369,268	64.75	10	185,464	32.52	-	15,511	2.72	-	-	-	-	-	-	-	-	-	-	-	-	-	183,804	32.23	570,318	KS
Kentucky	13	452,480	49.25	-	456,497	49.69	13	6,409	0.70	-	-	-	-	3,322	0.36	-	-	-	-	-	-	-	-4,017	-0.44	918,708	KY
Louisiana	10	38,538	30.49	-	87,519	69.24	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-48,981	-38.75	126,396	LA
Maine	6	136,355	68.92	6	58,961	29.80	-	2,214	1.12	-	-	-	-	-	-	-	-	-	-	-	-	-	77,394	39.12	197,840	ME
Maryland	8	236,117	55.11	8	180,626	42.16	-	8,876	2.07	-	1,645	0.38	-	-	-	-	-	-	-	1,178	0.27	-	55,491	12.95	428,443	MD
Massachusetts	18	681,153	68.55	18	276,691	27.84	-	32,267	3.25	-	-	-	-	-	-	-	-	-	-	3,583	0.36	-	404,462	40.70	993,718	MA
Michigan	15	762,865	72.76	15	233,450	22.27	-	28,947	2.76	-	10,480	1.00	-	9,646	0.92	-	-	-	-	2,539	0.24	-	529,415	50.50	1,048,411	MI
Minnesota	12	519,421	70.59	12	142,994	19.43	-	56,106	7.62	-	-	-	-	11,489	1.56	-	-	-	-	5,828	0.79	-	376,427	51.16	735,838	MN
Mississippi	10	11,576	14.03	-	69,277	83.98	10	1,639	1.99	-	-	-	-	-	-	-	-	-	-	-	-	-	-57,701	-69.95	82,492	MS
Missouri	18	727,162	54.56	18	574,799	43.13	-	20,242	1.52	-	3,291	0.25	-	5,142	0.39	-	-	-	-	2,164	0.16	-	152,363	11.43	1,332,800	MO
Montana	4	109,430	61.13	4	57,372	32.05	-	-	-	-	12,204	6.82	-	-	-	-	-	-	-	-	-	-	52,058	29.08	179,006	MT
Nebraska	8	247,498	64.66	8	119,608	31.25	-	9,600	2.51	-	-	-	-	5,947	1.55	-	-	-	-	-	-	-	127,890	33.41	382,743	NE
Nevada	3	15,479	56.92	3	9,851	36.22	-	1,864	6.85	-	-	-	-	-	-	-	-	-	-	-	-	-	5,628	20.70	27,194	NV
New Hampshire	4	95,196	59.84	4	62,662	39.39	-	1,234	0.78	-	-	-	-	-	-	-	-	-	-	-	-	-	32,534	20.45	159,092	NH
New Jersey	14	611,541	67.65	14	256,887	28.42	-	27,141	3.00	-	2,200	0.24	-	4,734	0.52	-	-	-	-	923	0.10	-	354,654	39.23	903,943	NJ
New Mexico	3	57,634	54.68	3	46,668	44.27	-	-	-	-	1,104	1.05	-	-	-	-	-	-	-	-	-	-	10,966	10.40	105,406	NM
New York	45	1,871,167	64.56	45	781,238	26.95	-	203,201	7.01	-	18,413	0.64	-	19,653	0.68	-	-	-	-	4,841	0.17	-	1,089,929	37.60	2,898,513	NY
North Carolina	12	232,848	43.22	-	305,447	56.70	12	446	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-72,599	-13.48	538,741	NC
North Dakota	5	160,072	77.79	5	37,422	18.19	-	8,282	4.02	-	-	-	-	-	-	-	-	-	-	-	-	-	122,650	59.60	205,776	ND
Ohio	24	1,182,022	58.47	24	780,037	38.58	-	57,147	2.83	-	-	-	-	-	-	-	-	-	-	-	-	-	401,985	19.88	2,021,653	OH
Oklahoma	10	243,831	50.11	10	217,053	44.61	-	25,726	5.29	-	-	-	-	-	-	-	-	-	-	-	-	-	26,778	5.50	486,610	OK
Oregon	5	143,592	60.20	5	80,019	33.55	-	9,801	4.11	-	-	-	-	3,595	1.51	-	-	-	-	1,515	0.64	-	63,573	26.65	238,522	OR
Pennsylvania	38	1,218,216	65.76	38	503,843	27.20	-	70,571	3.81	-	15,704	0.85	-	42,696	2.30	-	-	-	-	753	0.04	-	714,373	38.56	1,852,616	PA
