Franklin D. Roosevelt	Democratic
Wendell Willkie	Republican
Norman Thomas	Socialist
Other	Other
Margin
State Total
Alabama	11	250,726	85.22	11	42,184	14.34	-	100	0.03	-	1,209	0.41	-	208,542	70.88	294,219	AL
Arizona	3	95,267	63.49	3	54,030	36.01	-	-	-	-	742	0.49	-	41,237	27.48	150,039	AZ
Arkansas	9	158,622	79.02	9	42,121	20.98	-	-	-	-	-	-	-	116,501	58.03	200,743	AR
California	22	1,877,618	57.44	22	1,351,419	41.34	-	16,506	0.50	-	23,248	0.71	-	526,199	16.10	3,268,791	CA
Colorado	6	265,554	48.37	-	279,576	50.92	6	1,899	0.35	-	1,975	0.36	-	-14,022	-2.55	549,004	CO
Connecticut	8	417,621	53.44	8	361,819	46.30	-	-	-	-	2,062	0.26	-	55,802	7.14	781,502	CT
Delaware	3	74,599	54.70	3	61,440	45.05	-	115	0.08	-	220	0.16	-	13,159	9.65	136,374	DE
Florida	7	359,334	74.01	7	126,158	25.99	-	-	-	-	-	-	-	233,176	48.03	485,492	FL
Georgia	12	265,194	84.85	12	46,360	14.83	-	-	-	-	997	0.32	-	218,834	70.02	312,551	GA
Idaho	4	127,842	54.36	4	106,553	45.31	-	497	0.21	-	276	0.12	-	21,289	9.05	235,168	ID
Illinois	29	2,149,934	50.97	29	2,047,240	48.54	-	10,914	0.26	-	9,847	0.23	-	102,694	2.43	4,217,935	IL
Indiana	14	874,063	49.03	-	899,466	50.45	14	2,075	0.12	-	7,143	0.40	-	-25,403	-1.42	1,782,747	IN
Iowa	11	578,800	47.62	-	632,370	52.03	11	-	-	-	4,260	0.35	-	-53,570	-4.41	1,215,430	IA
Kansas	9	364,725	42.40	-	489,169	56.86	9	2,347	0.27	-	4,056	0.47	-	-124,444	-14.47	860,297	KS
Kentucky	11	557,222	57.44	11	410,384	42.30	-	1,014	0.10	-	1,443	0.15	-	146,838	15.14	970,063	KY
Louisiana	10	319,751	85.88	10	52,446	14.09	-	-	-	-	108	0.03	-	267,305	71.80	372,305	LA
Maine	5	156,478	48.77	-	163,951	51.10	5	-	-	-	411	0.13	-	-7,473	-2.33	320,840	ME
Maryland	8	384,546	58.25	8	269,534	40.83	-	4,093	0.62	-	1,944	0.29	-	115,012	17.42	660,117	MD
Massachusetts	17	1,076,522	53.11	17	939,700	46.36	-	4,091	0.20	-	6,680	0.33	-	136,822	6.75	2,026,993	MA
Michigan	19	1,032,991	49.52	-	1,039,917	49.85	19	7,593	0.36	-	5,428	0.26	-	-6,926	-0.33	2,085,929	MI
Minnesota	11	644,196	51.49	11	596,274	47.66	-	5,454	0.44	-	5,264	0.42	-	47,922	3.83	1,251,188	MN
Mississippi	9	168,267	95.70	9	7,364	4.19	-	193	0.11	-	-	-	-	160,903	91.51	175,824	MS
Missouri	15	958,476	52.27	15	871,009	47.50	-	2,226	0.12	-	2,018	0.11	-	87,467	4.77	1,833,729	MO
Montana	4	145,698	58.78	4	99,579	40.17	-	1,443	0.58	-	1,153	0.47	-	46,119	18.61	247,873	MT
Nebraska	7	263,677	42.81	-	352,201	57.19	7	-	-	-	-	-	-	-88,524	-14.37	615,878	NE
Nevada	3	31,945	60.08	3	21,229	39.92	-	-	-	-	-	-	-	10,716	20.15	53,174	NV
New Hampshire	4	125,292	53.22	4	110,127	46.78	-	-	-	-	-	-	-	15,165	6.44	235,419	NH
New Jersey	16	1,016,404	51.48	16	944,876	47.86	-	2,823	0.14	-	10,111	0.51	-	71,528	3.62	1,974,214	NJ
New Mexico	3	103,699	56.59	3	79,315	43.28	-	144	0.08	-	100	0.05	-	24,384	13.31	183,258	NM
New York	47	3,251,918	51.60	47	3,027,478	48.04	-	18,950	0.30	-	3,250	0.05	-	224,440	3.56	6,301,596	NY
North Carolina	13	609,015	74.03	13	213,633	25.97	-	-	-	-	-	-	-	395,382	48.06	822,648	NC
North Dakota	4	124,036	44.18	-	154,590	55.06	4	1,279	0.46	-	870	0.31	-	-30,554	-10.88	280,775	ND
Ohio	26	1,733,139	52.20	26	1,586,773	47.80	-	-	-	-	-	-	-	146,366	4.41	3,319,912	OH
Oklahoma	11	474,313	57.41	11	348,872	42.23	-	-	-	-	3,027	0.37	-	125,441	15.18	826,212	OK
Oregon	5	258,415	53.70	5	219,555	45.62	-	398	0.08	-	2,872	0.60	-	38,860	8.07	481,240	OR
Pennsylvania	36	2,171,035	53.23	36	1,889,848	46.33	-	10,967	0.27	-	6,864	0.17	-	281,187	6.89	4,078,714	PA
Rhode Island	4	182,182	56.73	4	138,653	43.17	-	-	-	-	313	0.10	-	43,529	13.55	321,148	RI
South Carolina	8	95,470	95.63	8	4,360	4.37	-	2	0.00	-	-	-	-	91,110	91.26	99,832	SC
South Dakota	4	131,362	42.59	-	177,065	57.41	4	-	-	-	-	-	-	-45,703	-14.82	308,427	SD
Tennessee	11	351,601	67.25	11	169,153	32.35	-	463	0.09	-	1,606	0.31	-	182,448	34.90	522,823	TN
Texas	23	909,974	80.92	23	212,692	18.91	-	728	0.06	-	1,137	0.10	-	697,282	62.01	1,124,531	TX
Utah	4	154,277	62.25	4	93,151	37.59	-	200	0.08	-	191	0.08	-	61,126	24.67	247,819	UT
Vermont	3	64,269	44.92	-	78,371	54.78	3	-	-	-	422	0.30	-	-14,102	-9.86	143,062	VT
Virginia	11	235,961	68.08	11	109,363	31.55	-	282	0.08	-	1,001	0.29	-	126,598	36.52	346,607	VA
Washington	8	462,145	58.22	8	322,123	40.58	-	4,586	0.58	-	4,979	0.63	-	140,022	17.64	793,833	WA
West Virginia	8	495,662	57.10	8	372,414	42.90	-	-	-	-	-	-	-	123,248	14.20	868,076	WV
Wisconsin	12	704,821	50.15	12	679,206	48.32	-	15,071	1.07	-	6,424	0.46	-	25,615	1.82	1,405,522	WI
Wyoming	3	59,287	52.82	3	52,633	46.89	-	148	0.13	-	172	0.15	-	6,654	5.93	112,240	WY
TOTALS:	531	27,313,945	54.74	449	22,347,744	44.78	82	116,599	0.23	-	123,825	0.25	-	4,966,201	9.95	49,902,113	US
