Franklin D. Roosevelt	Democratic
Alfred Landon	Republican
William Lemke	Union
Norman Thomas	Socialist
Other	Other
Margin
State Total
Alabama	11	238,136	86.38	11	35,358	12.82	-	551	0.20	-	242	0.09	-	1,397	0.51	-	202,838	73.56	275,244	AL
Arizona	3	86,722	69.85	3	33,433	26.93	-	3,307	2.66	-	317	0.26	-	384	0.31	-	53,289	42.92	124,163	AZ
Arkansas	9	146,765	81.80	9	32,039	17.86	-	4	0.00	-	446	0.25	-	169	0.09	-	114,726	63.94	179,423	AR
California	22	1,766,836	66.95	22	836,431	31.70	-	-	-	-	11,331	0.43	-	24,284	0.92	-	930,405	35.26	2,638,882	CA
Colorado	6	295,021	60.37	6	181,267	37.09	-	9,962	2.04	-	1,593	0.33	-	841	0.17	-	113,754	23.28	488,684	CO
Connecticut	8	382,129	55.32	8	278,685	40.35	-	21,805	3.16	-	5,683	0.82	-	2,421	0.35	-	103,444	14.98	690,723	CT
Delaware	3	69,702	54.62	3	57,236	44.85	-	442	0.35	-	172	0.13	-	51	0.04	-	12,466	9.77	127,603	DE
Florida	7	249,117	76.10	7	78,248	23.90	-	-	-	-	-	-	-	-	-	-	170,869	52.20	327,365	FL
Georgia	12	255,364	87.10	12	36,942	12.60	-	141	0.05	-	68	0.02	-	660	0.23	-	218,422	74.50	293,175	GA
Idaho	4	125,683	62.96	4	66,256	33.19	-	7,678	3.85	-	-	-	-	-	-	-	59,427	29.77	199,617	ID
Illinois	29	2,282,999	57.70	29	1,570,393	39.69	-	89,439	2.26	-	7,530	0.19	-	6,161	0.16	-	712,606	18.01	3,956,522	IL
Indiana	14	934,974	56.63	14	691,570	41.89	-	19,407	1.18	-	3,856	0.23	-	1,090	0.07	-	243,404	14.74	1,650,897	IN
Iowa	11	621,756	54.41	11	487,977	42.70	-	29,687	2.60	-	1,373	0.12	-	1,940	0.17	-	133,779	11.71	1,142,733	IA
Kansas	9	464,520	53.67	9	397,727	45.95	-	497	0.06	-	2,770	0.32	-	-	-	-	66,793	7.72	865,014	KS
Kentucky	11	541,944	58.51	11	369,702	39.92	-	12,501	1.35	-	632	0.07	-	1,424	0.15	-	172,242	18.60	926,203	KY
Louisiana	10	292,894	88.82	10	36,791	11.16	-	-	-	-	-	-	-	93	0.00	-	256,103	77.66	329,778	LA
